S.No,State,District ,Code ,Headquarters ,Population (2011) ,Area (km²) ,Density (/km²),
51,Andhra Pradesh (AP),Anantapur,AN,Anantapur,"40,83,315","19,130",213,
52,Chhattisgarh (CG),Raipur,RP,Raipur,"40,62,160","13,083",310,
53,Andhra Pradesh (AP),Kurnool,KU,Kurnool,"40,46,601","17,658",229,
54,Telangana (TS),Mahbubnagar,MA,Mahbubnagar,"40,42,191","18,432",219,
55,Uttar Pradesh (UP),Lakhimpur Kheri,LK,Lakhimpur,"40,13,634","7,674",523,
56,Telangana (TS),Hyderabad,HY,Hyderabad,"40,10,238",217,"18,480",
57,West Bengal (WB),Maldah,MA,English Bazar,"39,97,970","3,733","1,071",
58,Tamil Nadu (TN),Madurai,MA,Madurai,"39,91,038","3,676",823,
59,Tamil Nadu (TN),Kanchipuram,KC,Kanchipuram,"39,90,897","4,433",927,
60,Bihar (BR),Saran,SR,Chhapra,"39,43,098","2,641","1,493",
61,Bihar (BR),West Champaran,WC,Bettiah,"39,35,042","5,229",753,
62,Andhra Pradesh (AP),West Godavari,WG,Eluru,"39,34,782","7,742",508,
63,Tamil Nadu (TN),Vellore,VE,Vellore,"39,28,106","6,077",646,
64,Bihar (BR),Darbhanga,DA,Darbhanga,"39,21,971","2,278","1,721",
65,Maharashtra (MH),Kolhapur,KO,Kolhapur,"38,74,015","7,685",504,
66,West Bengal (WB),Jalpaiguri,JA,Jalpaiguri,"38,69,675","6,227",621,
67,Telangana (TS),Karimnagar,KA,Karimnagar,"38,11,738","11,823",322,
68,Uttar Pradesh (UP),Sultanpur,SU,Sultanpur,"37,90,922","4,436",855,
69,Tamil Nadu (TN),Tiruvallur,TL,Tiruvallur,"37,25,697","3,424","1,049",
70,Uttar Pradesh (UP),Budaun,BD,Budaun,"37,12,738","5,168",718,
71,Maharashtra (MH),Aurangabad,AU,Aurangabad,"36,95,928","10,107",365,
72,Rajasthan (RJ),Jodhpur,JO,Jodhpur,"36,85,681","22,850",161,
73,Uttar Pradesh (UP),Bijnor,BI,Bijnor,"36,83,896","4,561",808,
74,Uttar Pradesh (UP),Varanasi,VA,Varanasi,"36,82,194","1,535","2,399",
75,Uttar Pradesh (UP),Aligarh,AL,Aligarh,"36,73,849","3,747","1,007",
76,Rajasthan (RJ),Alwar,AL,Alwar,"36,71,999","8,380",438,
77,Delhi (DL),North West Delhi,NW,Kanjhawala,"36,51,261",130,"8,298",
78,Gujarat (GJ),Vadodara,VD,Vadodara,"36,39,775","7,794",467,
79,Uttar Pradesh (UP),Ghazipur,GP,Ghazipur,"36,22,727","3,377","1,072",
80,West Bengal (WB),Bankura,BN,Bankura,"35,96,292","6,882",523,
81,Uttar Pradesh (UP),Kushinagar,KU,Padrauna,"35,60,830","2,909","1,226",
82,Telangana (TS),Warangal,WA,Warangal,"35,22,644","12,846",274,
83,Odisha (OD),Ganjam,GN,Chhatrapur,"35,20,151","8,033",429,
